file,key,bpm,mood,title,seed,prompt,init_loop,init_path
00_Mirage_Dmin_m__s75__seed7.wav,Dmin,140,s75,Mirage,7,cKz! Mirage Dmin 140 bpm @crushed_keyz,Cymatics - Dragon Platinum Dark Loop - Bangin - 140 BPM D Min.wav,/Users/mikemcgovern/Documents/SoundSauce/Melody_Loops/Cymatics_Dragon_Platinum_Expansion/Cymatics - Dragon Platinum Dark Loop - Bangin - 140 BPM D Min.wav
00_Mirage_G#min_t__s75__seed7.wav,G#min,140,s75,Mirage,7,cKz! Mirage G#min 140 bpm @crushed_keyz,Cymatics - Dragon Platinum Dark Loop - Bangin - 140 BPM D Min.wav,/Users/mikemcgovern/Documents/SoundSauce/Melody_Loops/Cymatics_Dragon_Platinum_Expansion/Cymatics - Dragon Platinum Dark Loop - Bangin - 140 BPM D Min.wav
01_Obsidian_Bmin_m__s75__seed7.wav,Bmin,130,s75,Obsidian,7,cKz! Obsidian Bmin 130 bpm @crushed_keyz,Cymatics - Dragon Platinum Dark Loop - Choppa - 130 BPM B Min.wav,/Users/mikemcgovern/Documents/SoundSauce/Melody_Loops/Cymatics_Dragon_Platinum_Expansion/Cymatics - Dragon Platinum Dark Loop - Choppa - 130 BPM B Min.wav
01_Obsidian_Fmin_t__s75__seed7.wav,Fmin,130,s75,Obsidian,7,cKz! Obsidian Fmin 130 bpm @crushed_keyz,Cymatics - Dragon Platinum Dark Loop - Choppa - 130 BPM B Min.wav,/Users/mikemcgovern/Documents/SoundSauce/Melody_Loops/Cymatics_Dragon_Platinum_Expansion/Cymatics - Dragon Platinum Dark Loop - Choppa - 130 BPM B Min.wav
02_Cascade_A#min_m__s75__seed7.wav,A#min,146,s75,Cascade,7,cKz! Cascade A#min 146 bpm @crushed_keyz,Cymatics - Dragon Platinum Dark Loop - Demon - 146 BPM A# Min.wav,/Users/mikemcgovern/Documents/SoundSauce/Melody_Loops/Cymatics_Dragon_Platinum_Expansion/Cymatics - Dragon Platinum Dark Loop - Demon - 146 BPM A# Min.wav
02_Cascade_Emin_t__s75__seed7.wav,Emin,146,s75,Cascade,7,cKz! Cascade Emin 146 bpm @crushed_keyz,Cymatics - Dragon Platinum Dark Loop - Demon - 146 BPM A# Min.wav,/Users/mikemcgovern/Documents/SoundSauce/Melody_Loops/Cymatics_Dragon_Platinum_Expansion/Cymatics - Dragon Platinum Dark Loop - Demon - 146 BPM A# Min.wav
03_Wraith_Amin_m__s75__seed7.wav,Amin,69,s75,Wraith,7,cKz! Wraith Amin 69 bpm @crushed_keyz,Cymatics - Dragon Platinum Dark Loop - Foolish - 69 BPM A Min.wav,/Users/mikemcgovern/Documents/SoundSauce/Melody_Loops/Cymatics_Dragon_Platinum_Expansion/Cymatics - Dragon Platinum Dark Loop - Foolish - 69 BPM A Min.wav
03_Wraith_D#min_t__s75__seed7.wav,D#min,69,s75,Wraith,7,cKz! Wraith D#min 69 bpm @crushed_keyz,Cymatics - Dragon Platinum Dark Loop - Foolish - 69 BPM A Min.wav,/Users/mikemcgovern/Documents/SoundSauce/Melody_Loops/Cymatics_Dragon_Platinum_Expansion/Cymatics - Dragon Platinum Dark Loop - Foolish - 69 BPM A Min.wav
04_Nocturne_Gmin_m__s75__seed7.wav,Gmin,145,s75,Nocturne,7,cKz! Nocturne Gmin 145 bpm @crushed_keyz,Cymatics - Dragon Platinum Dark Loop - Humanity - 145 BPM G Min.wav,/Users/mikemcgovern/Documents/SoundSauce/Melody_Loops/Cymatics_Dragon_Platinum_Expansion/Cymatics - Dragon Platinum Dark Loop - Humanity - 145 BPM G Min.wav
04_Nocturne_C#min_t__s75__seed7.wav,C#min,145,s75,Nocturne,7,cKz! Nocturne C#min 145 bpm @crushed_keyz,Cymatics - Dragon Platinum Dark Loop - Humanity - 145 BPM G Min.wav,/Users/mikemcgovern/Documents/SoundSauce/Melody_Loops/Cymatics_Dragon_Platinum_Expansion/Cymatics - Dragon Platinum Dark Loop - Humanity - 145 BPM G Min.wav
05_Voltage_Cmin_m__s75__seed7.wav,Cmin,145,s75,Voltage,7,cKz! Voltage Cmin 145 bpm @crushed_keyz,Cymatics - Dragon Platinum Dark Loop - Immortal - 145 BPM C Min.wav,/Users/mikemcgovern/Documents/SoundSauce/Melody_Loops/Cymatics_Dragon_Platinum_Expansion/Cymatics - Dragon Platinum Dark Loop - Immortal - 145 BPM C Min.wav
05_Voltage_F#min_t__s75__seed7.wav,F#min,145,s75,Voltage,7,cKz! Voltage F#min 145 bpm @crushed_keyz,Cymatics - Dragon Platinum Dark Loop - Immortal - 145 BPM C Min.wav,/Users/mikemcgovern/Documents/SoundSauce/Melody_Loops/Cymatics_Dragon_Platinum_Expansion/Cymatics - Dragon Platinum Dark Loop - Immortal - 145 BPM C Min.wav
06_Solaris_C#min_m__s75__seed7.wav,C#min,120,s75,Solaris,7,cKz! Solaris C#min 120 bpm @crushed_keyz,Cymatics - Dragon Platinum Dark Loop - Juice - 120 BPM C# Min.wav,/Users/mikemcgovern/Documents/SoundSauce/Melody_Loops/Cymatics_Dragon_Platinum_Expansion/Cymatics - Dragon Platinum Dark Loop - Juice - 120 BPM C# Min.wav
06_Solaris_Gmin_t__s75__seed7.wav,Gmin,120,s75,Solaris,7,cKz! Solaris Gmin 120 bpm @crushed_keyz,Cymatics - Dragon Platinum Dark Loop - Juice - 120 BPM C# Min.wav,/Users/mikemcgovern/Documents/SoundSauce/Melody_Loops/Cymatics_Dragon_Platinum_Expansion/Cymatics - Dragon Platinum Dark Loop - Juice - 120 BPM C# Min.wav
07_Velvet_Emin_m__s75__seed7.wav,Emin,142,s75,Velvet,7,cKz! Velvet Emin 142 bpm @crushed_keyz,Cymatics - Dragon Platinum Dark Loop - Paper - 142 BPM E Min.wav,/Users/mikemcgovern/Documents/SoundSauce/Melody_Loops/Cymatics_Dragon_Platinum_Expansion/Cymatics - Dragon Platinum Dark Loop - Paper - 142 BPM E Min.wav
07_Velvet_A#min_t__s75__seed7.wav,A#min,142,s75,Velvet,7,cKz! Velvet A#min 142 bpm @crushed_keyz,Cymatics - Dragon Platinum Dark Loop - Paper - 142 BPM E Min.wav,/Users/mikemcgovern/Documents/SoundSauce/Melody_Loops/Cymatics_Dragon_Platinum_Expansion/Cymatics - Dragon Platinum Dark Loop - Paper - 142 BPM E Min.wav
08_Mirage_Fmin_m__s75__seed7.wav,Fmin,130,s75,Mirage,7,cKz! Mirage Fmin 130 bpm @crushed_keyz,Cymatics - Dragon Platinum Dark Loop - Science - 130 BPM F Min.wav,/Users/mikemcgovern/Documents/SoundSauce/Melody_Loops/Cymatics_Dragon_Platinum_Expansion/Cymatics - Dragon Platinum Dark Loop - Science - 130 BPM F Min.wav
08_Mirage_Bmin_t__s75__seed7.wav,Bmin,130,s75,Mirage,7,cKz! Mirage Bmin 130 bpm @crushed_keyz,Cymatics - Dragon Platinum Dark Loop - Science - 130 BPM F Min.wav,/Users/mikemcgovern/Documents/SoundSauce/Melody_Loops/Cymatics_Dragon_Platinum_Expansion/Cymatics - Dragon Platinum Dark Loop - Science - 130 BPM F Min.wav
09_Obsidian_F#min_m__s75__seed7.wav,F#min,141,s75,Obsidian,7,cKz! Obsidian F#min 141 bpm @crushed_keyz,Cymatics - Dragon Platinum Dark Loop - Slime - 141 BPM F# Min.wav,/Users/mikemcgovern/Documents/SoundSauce/Melody_Loops/Cymatics_Dragon_Platinum_Expansion/Cymatics - Dragon Platinum Dark Loop - Slime - 141 BPM F# Min.wav
09_Obsidian_Cmin_t__s75__seed7.wav,Cmin,141,s75,Obsidian,7,cKz! Obsidian Cmin 141 bpm @crushed_keyz,Cymatics - Dragon Platinum Dark Loop - Slime - 141 BPM F# Min.wav,/Users/mikemcgovern/Documents/SoundSauce/Melody_Loops/Cymatics_Dragon_Platinum_Expansion/Cymatics - Dragon Platinum Dark Loop - Slime - 141 BPM F# Min.wav
10_Cascade_D#min_m__s75__seed7.wav,D#min,150,s75,Cascade,7,cKz! Cascade D#min 150 bpm @crushed_keyz,Cymatics - Dragon Platinum Dark Loop - Tragedy - 150 BPM D# Min.wav,/Users/mikemcgovern/Documents/SoundSauce/Melody_Loops/Cymatics_Dragon_Platinum_Expansion/Cymatics - Dragon Platinum Dark Loop - Tragedy - 150 BPM D# Min.wav
10_Cascade_Amin_t__s75__seed7.wav,Amin,150,s75,Cascade,7,cKz! Cascade Amin 150 bpm @crushed_keyz,Cymatics - Dragon Platinum Dark Loop - Tragedy - 150 BPM D# Min.wav,/Users/mikemcgovern/Documents/SoundSauce/Melody_Loops/Cymatics_Dragon_Platinum_Expansion/Cymatics - Dragon Platinum Dark Loop - Tragedy - 150 BPM D# Min.wav
11_Wraith_G#min_m__s75__seed7.wav,G#min,84,s75,Wraith,7,cKz! Wraith G#min 84 bpm @crushed_keyz,Cymatics - Dragon Platinum Ethnic Loop - Foreign - 84 BPM G# Min.wav,/Users/mikemcgovern/Documents/SoundSauce/Melody_Loops/Cymatics_Dragon_Platinum_Expansion/Cymatics - Dragon Platinum Ethnic Loop - Foreign - 84 BPM G# Min.wav
11_Wraith_Dmin_t__s75__seed7.wav,Dmin,84,s75,Wraith,7,cKz! Wraith Dmin 84 bpm @crushed_keyz,Cymatics - Dragon Platinum Ethnic Loop - Foreign - 84 BPM G# Min.wav,/Users/mikemcgovern/Documents/SoundSauce/Melody_Loops/Cymatics_Dragon_Platinum_Expansion/Cymatics - Dragon Platinum Ethnic Loop - Foreign - 84 BPM G# Min.wav
12_Nocturne_Dmin_m__s75__seed7.wav,Dmin,158,s75,Nocturne,7,cKz! Nocturne Dmin 158 bpm @crushed_keyz,Cymatics - Dragon Platinum Dark Loop - Melee - 158 BPM D Min.wav,/Users/mikemcgovern/Documents/SoundSauce/Melody_Loops/Cymatics_Dragon_Platinum_Expansion/Cymatics - Dragon Platinum Dark Loop - Melee - 158 BPM D Min.wav
12_Nocturne_G#min_t__s75__seed7.wav,G#min,158,s75,Nocturne,7,cKz! Nocturne G#min 158 bpm @crushed_keyz,Cymatics - Dragon Platinum Dark Loop - Melee - 158 BPM D Min.wav,/Users/mikemcgovern/Documents/SoundSauce/Melody_Loops/Cymatics_Dragon_Platinum_Expansion/Cymatics - Dragon Platinum Dark Loop - Melee - 158 BPM D Min.wav
